iter	RMSE
188	0.7626418206
189	0.7625722021
190	0.7624874957
191	0.7624490237
192	0.7624128358
193	0.762351574
194	0.762231172
195	0.7621970274
196	0.7621695223
197	0.7620576228
198	0.7619355268
199	0.7618747759
200	0.7617555336
201	0.761628874
202	0.7615223824
203	0.7614191927
204	0.7612946051
205	0.7611289492
206	0.7610869477
207	0.7609950201
208	0.7609305299
209	0.7608916661
210	0.7607532601
211	0.7606487804
212	0.7605829671
213	0.760441869
214	0.7603519449
215	0.7602262722
216	0.7601935744
217	0.7601274192
218	0.760101123
219	0.7599610424
220	0.7598232299
221	0.7596787466
222	0.7596516538
223	0.7595774157
224	0.7594686941
225	0.7592962645
226	0.7592684358
227	0.7592363391
228	0.7590928817
229	0.7589849795
230	0.7589574859
231	0.7589333656
232	0.7588077102
233	0.7586888503
234	0.758629595
235	0.758610518
236	0.7586015826
237	0.7585729726
238	0.7585294327
239	0.7584151096
240	0.7583698809
241	0.7583099339
242	0.758166298
243	0.7580822804
244	0.7579859195
245	0.7578609279
246	0.7577745939
247	0.7577517188
248	0.7576304124
249	0.7575684738
250	0.7574541774
251	0.7573025884
252	0.7571749858
253	0.757085148
254	0.7569590988
255	0.7568552505
256	0.7567782383
257	0.7566802342
258	0.756605232
259	0.7565481564
260	0.7564682548
261	0.7564474721
262	0.7564299877
263	0.7563109445
264	0.7562860143
265	0.7561430965
266	0.7560685675
267	0.7560381918
268	0.7560051902
269	0.755898166
270	0.7557854891
271	0.7557400122
272	0.7556601874
273	0.7556388057
274	0.7555848804
275	0.7555110409
276	0.7554657324
277	0.7553700342
278	0.7553147749
279	0.7552243916
280	0.755112329
281	0.7550262266
282	0.7548989586
283	0.7548821369
284	0.7548120882
285	0.7547503708
286	0.7546659504
287	0.7545859254
288	0.7545321194
289	0.7544724661
290	0.7544230826
291	0.7543977802
292	0.7542501854
293	0.7541577278
294	0.7541355152
295	0.7541166022
296	0.7540710386
297	0.7540542
298	0.7540167461
299	0.7539503151
300	0.7538997302
301	0.7538306433
302	0.7537122764
303	0.7536834956
304	0.7535661051
305	0.7534749379
306	0.7534369822
307	0.7533741514
308	0.7533396717
309	0.7533214476
310	0.7532985619
311	0.7531999189
312	0.7531595799
313	0.7530802152
314	0.7529483667
315	0.7528354526
316	0.7527197014
317	0.7526921629
318	0.7525961288
319	0.7525952626
320	0.7525759463
321	0.7524614303
322	0.7523498025
323	0.7523284012
324	0.7521998452
325	0.7521366582
326	0.7520949535
327	0.7519871742
328	0.7518992447
329	0.7517930798
330	0.7517163381
331	0.7516719412
332	0.7515636056
333	0.7514714885
334	0.7513773421
335	0.7513437758
336	0.751229859
337	0.7510788145
338	0.7509543731
339	0.7509342185
340	0.7508603926
341	0.7508185534
342	0.7507016801
343	0.7505784954
344	0.7504723343
345	0.7503596016
346	0.7502438582
347	0.7501479734
348	0.7500763897
349	0.7500048199
350	0.7499002465
351	0.7498267669
352	0.7496350585
353	0.7495013499
354	0.749398783
355	0.749350938
356	0.7492202105
357	0.749137198
358	0.7489931223
359	0.7489271174
360	0.748817764
361	0.7487187238
362	0.7486343875
363	0.748524753
364	0.7483483528
365	0.7483030596
366	0.7482104023
367	0.7481334003
368	0.7480477894
369	0.7479416659
370	0.7477894636
371	0.7476906611
372	0.7476732482
373	0.747656726
374	0.7475591377
375	0.7474829892
376	0.7473955499
377	0.7473058092
378	0.7472671835
379	0.747133305
380	0.7470359499
381	0.7469518158
382	0.7468468659
383	0.746831892
384	0.7467319729
385	0.7467306857
386	0.7466063389
387	0.7465927187
388	0.7465459374
389	0.7464802159
390	0.7463961756
391	0.7463226469
392	0.7462424903
393	0.746136079
394	0.7460651667
395	0.7460173329
396	0.7459285275
397	0.7458421912
398	0.7457518257
399	0.7456479755
400	0.745579252
401	0.7454652741
402	0.745430401
403	0.7453210757
404	0.7452242472
405	0.7451108363
406	0.7451053599
407	0.7451039477
408	0.7449706629
409	0.7448768185
410	0.7447749194
411	0.7447586206
412	0.7446517468
413	0.744558199
414	0.7444784422
415	0.7444389129
416	0.7444114986
417	0.7443203082
418	0.7442420974
419	0.7441296364
420	0.7440623775
421	0.7439576044
422	0.7438591984
423	0.7437584535
424	0.7436934959
425	0.7436222733
426	0.7435456492
427	0.7434385741
428	0.7434374269
429	0.743360294
430	0.7433594542
431	0.7432564307
432	0.7431949992
433	0.7431604652
434	0.7431445485
435	0.743085228
436	0.7429885416
437	0.7429825706
438	0.7429157147
439	0.7428552895
440	0.7427861389
441	0.742664316
442	0.7426289451
443	0.7425065151
444	0.7424122794
445	0.7423578658
446	0.7423512275
447	0.7423368339
448	0.74229055
449	0.7421885966
450	0.7420681269
451	0.7419793561
452	0.7418720343
453	0.7418131046
454	0.7417802272
455	0.7417230259
456	0.7416617898
457	0.741567226
458	0.741460226
459	0.7413761133
460	0.7413063963
461	0.7412585016
462	0.7412070663
463	0.7411091465
464	0.7409796831
465	0.7409278747
466	0.7408278937
467	0.7407208569
468	0.7406183016
469	0.7405648498
470	0.7404699406
471	0.7403872007
472	0.740303718
473	0.7402156513
474	0.7401377131
475	0.7400984771
476	0.7400171632
477	0.7399611709
478	0.7398879499
479	0.7397654281
480	0.7397518567
481	0.7396782885
482	0.7396200869
483	0.7395414899
484	0.7394492406
485	0.7393773454
486	0.7393396209
487	0.7392295997
488	0.739142867
489	0.739083471
490	0.739019229
491	0.7389717634
492	0.7389361171
493	0.7388549054
494	0.7387591318
495	0.7386960939
496	0.7386319588
497	0.7385068551
498	0.7384538042
499	0.7383961493
500	0.7383599876
501	0.7382426379
502	0.7382044648
503	0.7381233753
504	0.7380352558
505	0.7379544593
506	0.7378396312
507	0.7377554525
508	0.737709481
509	0.7376553778
510	0.7375989225
511	0.7375138904
512	0.7374216107
513	0.7373189788
514	0.7371915571
515	0.7371406616
516	0.7370577748
517	0.7370151453
518	0.736917607
519	0.7368829815
520	0.7368205324
521	0.7367778174
522	0.7367215617
523	0.7366931862
524	0.7366213992
525	0.7364671848
526	0.736360089
527	0.7362674881
528	0.7362666246
529	0.7361907412
530	0.7360331784
531	0.7359675942
532	0.7358784193
533	0.7358075692
534	0.7358060992
535	0.7357089647
536	0.7356442744
537	0.7355428108
538	0.7355379295
539	0.7354581671
540	0.7353821038
541	0.7353518164
542	0.7353513499
543	0.7352627064
544	0.7351820271
545	0.7351466232
546	0.7351112828
547	0.7350118214
548	0.7349369845
549	0.7349096352
550	0.7348386917
551	0.7348076638
552	0.7347281884
553	0.7346140917
554	0.7345433309
555	0.7344673104
556	0.7343538159
557	0.7342678668
558	0.7342150706
559	0.7341282509
560	0.7340310477
561	0.7339613864
562	0.7338657868
563	0.7338171906
564	0.7338126369
565	0.73377897
566	0.7337442708
567	0.7336897664
568	0.7336344735
569	0.7335556125
570	0.7335491241
571	0.7334893152
572	0.7334332976
573	0.7333709795
574	0.7332777052
575	0.7332121953
576	0.7331247991
577	0.7330408627
578	0.7329653946
579	0.7328433078
580	0.7328011678
581	0.732700193
582	0.7326529335
583	0.7325976332
584	0.7325766236
585	0.732426248
586	0.7323487803
587	0.7322936665
588	0.732182848
589	0.7321194028
590	0.7320306191
591	0.7319654468
592	0.7318202563
593	0.7317430796
594	0.7317381017
595	0.7317016074
596	0.731695
597	0.7316199865
598	0.7315852163
599	0.7315585822
600	0.7314382187
601	0.7313515071
602	0.7312613447
603	0.7311346417
604	0.7310067477
605	0.7309617617
606	0.7308368195
607	0.7307546553
608	0.7307432157
609	0.7306212637
610	0.7305167941
611	0.730417143
612	0.7303523612
613	0.7302617807
614	0.7301928092
615	0.7301647575
616	0.7300549334
617	0.7299428129
618	0.7298103648
619	0.7298025793
620	0.7296957351
621	0.729679814
622	0.7296234174
623	0.7295195193
624	0.7294523915
625	0.7293696567
626	0.7293558908
627	0.7292602363
628	0.7291940832
629	0.7290973745
630	0.7290448459
631	0.7289911799
632	0.7289053085
633	0.7287700341
634	0.728676477
635	0.7285476096
636	0.7285043379
637	0.7284282927
638	0.7283660428
639	0.7283086121
640	0.7282924383
641	0.7282580653
642	0.7282224682
643	0.7281686971
644	0.7281324294
645	0.7280751318
646	0.7280506958
647	0.7279891427
648	0.7279259693
649	0.7278350666
650	0.7277869756
651	0.7277416083
652	0.7276219998
653	0.7275454562
654	0.72748438
655	0.7274178436
656	0.7273519132
657	0.7273180478
658	0.7272441547
659	0.7272150045
660	0.7271682029
661	0.7271112492
662	0.7270463506
663	0.7269449262
664	0.7268518382
665	0.7267566929
666	0.7266734677
667	0.7265823792
668	0.726543928
669	0.726404687
670	0.7263652718
671	0.7262867776
672	0.7262510607
673	0.7261689686
674	0.7261067675
675	0.7260034721
676	0.7259291813
677	0.7258181118
678	0.7257774793
679	0.7256913149
680	0.7255912481
681	0.7254830191
682	0.7254421706
683	0.7254371415
684	0.7253399078
685	0.725246903
686	0.7251606296
687	0.7251575119
688	0.7251524534
689	0.7250200084
690	0.724999483
691	0.7249335301
692	0.7249329196
693	0.7248771634
694	0.7247839059
695	0.7247791214
696	0.7247135292
697	0.7246366673
698	0.7246151423
699	0.7246050844
700	0.7245521307
701	0.7245104113
702	0.7244311055
703	0.7243471685
704	0.7243120822
705	0.7242549087
706	0.7241650444
707	0.7240829632
708	0.7239527117
709	0.7238801712
710	0.7238771412
711	0.7238476358
712	0.723839055
713	0.7238012324
714	0.723763604
715	0.7237176828
716	0.7236673732
717	0.7235923506
718	0.7234940658
719	0.7234224475
720	0.7233723531
721	0.7232903935
722	0.7231959001
723	0.7231227087
724	0.7230617342
725	0.7230307069
726	0.722948353
727	0.7228886341
728	0.7227798742
729	0.7227743408
730	0.7227178269
731	0.7226626124
732	0.7225724947
733	0.7224787504
734	0.7224340593
735	0.7223248653
736	0.7222523021
737	0.7222170429
738	0.7221875573
739	0.7221150447
740	0.7220594552
741	0.7219715939
742	0.7219580041
743	0.7219519176
744	0.7219292021
745	0.7218410583
746	0.7217883381
747	0.7216696561
748	0.7215617713
749	0.7214842199
750	0.721443664
751	0.7213235114
752	0.7212666657
753	0.7212652627
754	0.7212028499
755	0.7211083285
756	0.7210401983
757	0.7210066671
758	0.7208868125
759	0.7208217789
760	0.7207326806
761	0.7206261434
762	0.7205644315
763	0.7205326678
764	0.7204783714
765	0.7204181735
766	0.720326041
767	0.7202838027
768	0.7202057368
769	0.7201464785
770	0.7200488072
771	0.7200474726
772	0.7199406919
773	0.719927683
774	0.7198239702
775	0.7197864465
776	0.7197107741
777	0.7196066118
778	0.7195482564
779	0.7194882366
780	0.7194526196
781	0.7193442699
782	0.7192333477
783	0.719159398
784	0.7190944224
785	0.7190583638
786	0.7188930191
787	0.7188267825
788	0.7187360806
789	0.7186581974
790	0.7185361819
791	0.7184559176
792	0.7184047964
793	0.7183047328
794	0.7182318988
795	0.7180981142
796	0.7180536575
797	0.7179941369
798	0.7179593483
799	0.7179343397
800	0.7178238801
801	0.7177691704
802	0.7176590451
803	0.7176368976
804	0.7175496923
805	0.7174656553
806	0.7174471504
807	0.7173477093
808	0.7172441326
809	0.717197974
810	0.7171500699
811	0.7170981963
812	0.7170136168
813	0.7169650019
814	0.7168782874
815	0.7168062646
816	0.716716793
817	0.7166395383
818	0.7165879096
819	0.7165422363
820	0.7164715098
821	0.7164421106
822	0.7163639157
823	0.7162768368
824	0.7162211232
825	0.7161992805
826	0.7160585154
827	0.7159993958
828	0.7159180794
829	0.7158741347
830	0.7157975318
831	0.7157373881
832	0.7157267068
833	0.7156366399
834	0.7155855186
835	0.7155700469
836	0.7155409182
837	0.715491561
838	0.7154458015
839	0.7153901624
840	0.7152999485
841	0.7152402629
842	0.7151651567
843	0.7151209533
844	0.7150745978
845	0.715046361
846	0.7150439082
847	0.7150389756
848	0.7150383189
849	0.7150191905
850	0.7149706902
851	0.7149554634
852	0.7148486922
853	0.7148037947
854	0.7148031565
855	0.7146971211
856	0.7146638989
857	0.7145789181
858	0.7145015951
859	0.7143947766
860	0.714332201
861	0.7142529349
862	0.7141887391
863	0.7141209659
864	0.7141142657
865	0.7140630413
866	0.7140509446
867	0.7140038361
868	0.7139836731
869	0.7139088596
870	0.7138452675
871	0.7137853817
872	0.7137073224
873	0.7136633178
874	0.7135347259
875	0.7134559295
876	0.7133583842
877	0.7133317334
878	0.7133100995
879	0.713231576
880	0.713212707
881	0.7131311792
882	0.7130223779
883	0.7129252176
884	0.7129123406
885	0.7128005307
886	0.7127449155
887	0.7126568396
888	0.7125618018
889	0.7124727488
890	0.7124567205
891	0.7123509213
892	0.7123031735
893	0.7122331043
894	0.7121557832
895	0.7120683875
896	0.711964234
897	0.7118840922
898	0.7118467487
899	0.7118312537
900	0.7117558554
901	0.7117352912
902	0.7117077059
903	0.7116338686
904	0.711611621
905	0.711609603
906	0.7115566344
907	0.71150605
908	0.7114513716
909	0.7114106812
910	0.7113566558
911	0.7112810272
912	0.7111775092
913	0.7110878786
914	0.7110072644
915	0.7109504079
916	0.71087211
917	0.7107390861
918	0.7106715943
919	0.7105808871
920	0.7105243601
921	0.7104424934
922	0.7104039179
923	0.7103426857
924	0.7102654919
925	0.7102204767
926	0.7101608711
927	0.7101360802
928	0.7100753249
929	0.7099781709
930	0.7099162175
931	0.7098656775
932	0.7098536762
933	0.7097836836
934	0.7097510897
935	0.7096700707
936	0.7096206881
937	0.7095536162
938	0.7094550616
939	0.7093867725
940	0.7093576647
941	0.7093334279
942	0.7092521961
943	0.7091694795
944	0.7091009733
945	0.7091005733
946	0.7090372668
947	0.7089935836
948	0.7089375104
949	0.7088933544
950	0.7088930145
951	0.7088062204
952	0.7087485949
953	0.7086469544
954	0.7086380292
955	0.7085922315
956	0.7085033695
957	0.708446468
958	0.7083241968
959	0.708264575
960	0.7081650598
961	0.7080781895
962	0.7079966452
963	0.70791029
964	0.7078864069
965	0.7078602352
966	0.7078001224
967	0.7077187314
968	0.7076501257
969	0.7076253001
970	0.7075621192
971	0.707503733
972	0.7074471315
973	0.7074250183
974	0.707357379
975	0.7072362581
976	0.7071964336
977	0.7071059335
978	0.7071055845
979	0.707030707
980	0.7070093494
981	0.7070055953
982	0.7069636224
983	0.7069315017
984	0.7068910045
985	0.7068332527
986	0.7067735018
987	0.7066953251
988	0.7065977708
989	0.7065381959
990	0.7065103905
991	0.7064700152
992	0.7063551592
993	0.7063284202
994	0.7062566513
995	0.7062106348
996	0.7061547385
997	0.7061139379
998	0.7061136464
999	0.7060640014
